WOMEN	Trachea-bronchus-lung	Colon-rectum and anus	Breast	Stomach	Pancreas	Liver	Cervix uteri	Ovary	Hodgkins disease	Leukemia	Bladder	Skin
Australia	17.07713126	9.953991881	15.77266576	2.300405954	6.48443843	2.397834912	1.239512855	4.887686062	0.184032476	3.767253045	1.51014885	2.560216509
Austria	14.02090743	10.71236125	16.89837267	4.084491863	8.309085031	3.060674642	1.573445414	5.086755038	0.140101304	3.782735209	1.519560297	1.541114344
Belgium	14.63744818	11.98070903	19.56172265	2.631356291	6.76030121	2.707504865	1.514510534	5.736525933	0.118453338	3.494373466	1.962941027	1.150689568
Canada	25.19386574	11.11400463	14.34606481	2.248263889	5.865162037	2.337962963	1.148726852	4.904513889	0.153356481	3.093171296	1.741898148	1.096643519
Chile	9.944657301	9.621115368	11.63899532	9.987228608	5.738612175	4.504044274	4.97232865	3.329076203	0.195828012	2.681992337	1.10685398	0.638569604
Czech Rep.	13.98920714	12.21253632	14.04732254	3.569946036	8.136156081	2.565379826	3.063511831	6.02739726	0.224159402	3.254462433	1.942714819	1.112494811
Denmark	23.97904352	12.31864589	15.08597528	2.082213864	6.273508866	1.92101021	1.276195594	5.171950564	0.161203654	2.53895755	2.203116604	1.612036539
Estonia	10.05353956	13.14693635	15.70493754	7.019631172	6.186793575	2.795954789	4.283164783	5.472932778	0.356930399	4.104699584	1.249256395	1.784651993
Finland	12.86070538	10.3847524	15.42572141	3.865336658	9.369433559	3.330958318	0.961881012	5.432846455	0.124688279	2.956893481	1.300320627	1.425008906
France	11.98480114	12.76358555	18.14599067	2.642528537	7.21003627	3.44800515	1.216850634	5.446780449	0.174284413	3.989699948	1.913988287	1.14462466
Germany	14.82947088	11.83713049	17.48682587	3.948322135	8.157188473	2.416400572	1.51820871	5.353889553	0.167492703	3.486982585	1.82478892	1.22925931
Greece	11.67018639	10.05417317	18.27196768	4.434854467	6.675236434	0.578459278	1.423193462	4.324671747	1.11100909	4.159397668	1.790469195	0.863097971
Hungary	21.24824215	15.01372798	14.51148463	4.533583339	6.917565124	1.868345276	2.71211411	4.948771178	0.120538405	3.033549856	1.754503449	1.091542222
Iceland	27.38095238	8.73015873	14.28571429	1.19047619	6.746031746	2.777777778	0.793650794	5.158730159	0.396825397	3.174603175	0.396825397	1.587301587
Ireland	18.33553501	10.59445178	16.75033025	3.751651255	6.182298547	2.562747688	2.351387054	7.476882431	0.264200793	2.324966975	1.743725231	1.42668428
Israel	11.12170927	12.91491797	18.96222816	3.796260969	7.649752003	2.651659672	1.44982831	5.703929798	0.362457077	4.67378863	1.621518504	2.041205647
Italy	11.73829291	11.93228064	16.28411742	5.682619784	7.553312714	4.718107331	0.572467307	4.410168756	0.27673775	3.75223832	1.698410114	1.086602637
Japan	13.98242055	14.89249493	8.889790399	11.26031102	10.00608519	7.004056795	1.795807978	3.189317106	0.035835024	2.249492901	1.635564571	0.186612576
Korea	16.40839653	12.84390226	7.301168627	11.91339708	7.92028428	10.40773711	3.256768143	3.333699674	0.073268125	2.736564458	1.110012089	0.42861853
Luxembourg	12.68817204	14.40860215	19.78494624	2.580645161	8.172043011	5.376344086	1.935483871	5.591397849	0.430107527	4.946236559	1.290322581	1.505376344
Mexico	6.031005625	6.022774043	15.16257374	6.99684456	5.375222939	7.778844835	10.30868432	5.402661545	0.515845795	5.141994787	0.85334065	0.721635341
Netherlands	20.87787829	12.08367599	16.24691612	2.718955592	6.337376645	1.398026316	1.141036184	5.191200658	0.190172697	2.996504934	1.696134868	1.685855263
New Zealand	18.45309143	14.060635	15.18262115	2.458820721	5.013129625	1.814275483	1.265218429	4.750537121	0.167104321	3.031749821	1.766531392	2.769157317
Norway	19.46938776	15.91836735	12.87755102	2.836734694	7.142857143	1.775510204	1.530612245	5.795918367	0.204081633	3.12244898	2.040816327	2.857142857
Poland	15.87108471	12.10429638	13.87437677	4.463369832	5.617977528	2.125527804	3.981488108	6.209594695	0.195615353	2.946158067	1.734297097	1.576850593
Portugal	8.195467151	15.40594817	15.74065219	8.759682509	6.158554079	2.974084345	1.960409295	3.65305537	0.172133499	3.719996175	2.304676293	1.109304772
Slovak Rep.	10.36116045	13.83461614	15.49240182	5.091770278	6.710084863	2.684033945	4.065522005	5.466745609	0.394710874	2.703769489	1.657785672	1.776198934
Slovenia	12.0795107	13.1116208	15.90214067	5.848623853	7.568807339	2.370030581	1.643730887	5.733944954	0.191131498	3.363914373	1.987767584	1.834862385
Spain	9.909866487	15.33715718	15.60948571	5.261001591	6.91666265	4.118667759	1.542391671	4.513905625	0.228948764	3.687280089	2.318407481	0.978454716
Sweden	16.70708955	12.53731343	13.74067164	2.444029851	8.180970149	2.574626866	1.548507463	5.018656716	0.149253731	3.28358209	1.847014925	1.912313433
Switzerland	15.32171582	11.00536193	18.37801609	2.560321716	8.123324397	2.694369973	1.206434316	5.335120643	0	3.485254692	1.836461126	1.836461126
Turkey	12.28199364	10.47205643	13.72374235	8.89078366	7.092473452	3.945430587	1.995969305	5.398806294	0.372064181	4.832958685	1.356483993	0.786760716
United Kingdom	20.9504992	9.815108017	15.01642176	2.295120579	5.61349332	2.501864622	1.159336849	5.362260053	0.170105858	2.619630216	2.27549298	1.333368227
United States	25.78287376	9.2560462	14.97879584	1.712770349	6.646527887	2.429072898	1.438814759	5.324235573	0.18884672	3.551194994	1.572505086	1.151344026
OECD	17.4437387	11.49602053	14.55037686	4.734786289	7.244573667	3.689523611	1.924013097	4.898450662	0.190452289	3.343594618	1.704903968	1.073385539
